ลำดับ	เลขทะเบียนเดิม	FID	ชื่อโรงงาน	ประกอบกิจการ	เลขที่	หมู่	ซอย	ถนน	ตำบล	อำเภอ	จังหวัด	ไปรษณีย์	โทรศัพท์	เงินทุน	คนงาน	แรงม้า
5910	น.42(1)-3/2554-ญนพ.	7.21E+13	บริษัท เจเอสอาร์ บีเอสที อิลาสโตเมอร์ จำกัด	"ผลิตยางสังเคราะห์S-SBRและผลิตภัณฑ์พลอยได้RECOVEREDBD(1,3บิวทาไดอีนรีไซเคิล(RecycleBD))"	42377			ไอ-สอง	มาบตาพุด	เมืองระยอง	ระยอง	21150	038-698698	4335000000	128	83303.65
5911	น.42(1)-14/2537-ญนพ.	7.21E+13	บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน)	"ผลิต REFORMATE, LIGHT NAPHTHA, CONDENSATE RESIDUE, BENZENE, TOLUENE XYLENES (PARAXYLINE, ORTHOXYLINE, MIXED XYLINES) RAFFINATE, HEAVY AROMATICS, HYDROGEN, LPG และผลิตภัณฑ์พลอยได้อื่นๆ"	4		นิคมฯ มาบตาพุด	ไอ-สอง	มาบตาพุด	เมืองระยอง	ระยอง	21150		29938149690	321	656749
5912	จ3-63(2)-1/46รย	2.02E+13	บริษัท ศรีราชา คอนสตรัคชั่น (1994) จำกัด (มหาชน)	ผลิตส่วนประกอบสำหรับใช้ในการก่อสร้างอาคาร	123/2	0	-	วัดมาบตาพุด	มาบตาพุด	เมืองระยอง	ระยอง	21150	(038)-682987	16000000	50	257
5913	ส3-37-1/26รย	2.10E+11	บริษัท เอเซียพาราวู้ด จำกัด	ผลิตชิ้นส่วนเฟอร์นิเจอร์จากไม้ยางพารา	110			หนิงกันเกรา	ทางเกวียน	แกลง	ระยอง	21110	671105	0	105	2236.1
5914	จ3-34(2)-3/35รย	2.02E+13	นายไพศิษฐ์ พิทักษ์ธนกฤต	ทำวงกบประตู-หน้าต่างไม้	-				ทางเกวียน	แกลง	ระยอง	21110		3700000	3	57
5915	3-34(3)-3/52รย	1.02E+13	บริษัท ส.พลายวู๊ด จำกัด	ผลิตไม้วีเนียร์ ไม้อัดจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย	5	2	-	-	ทางเกวียน	แกลง	ระยอง	21110		184000000	140	1699.22
5916	3-34(3)-2/55รย	1.02E+13	บริษัท ระยองเอ็มดีเอฟ จำกัด	ผลิตแผ่นไม้อัด	31-ม.ค.	3		มาบใหญ่	ทางเกวียน	แกลง	ระยอง	21110		1993000000	185	85558
5917	ศ3-34(1)-8/34รย	2.10E+11	บริษัท โตเกียวพาราวู้ด 1986 จำกัด	แปรรูปไม้ยางพารา อบไม้ และเครื่องเรือนจากไม้ยางพารา	2		-	บ้านบึง-แกลง	ทางเกวียน	แกลง	ระยอง	21110	671974-5	4400000	100	547.59
5918	3-65-1/34รย	1.02E+13	โรงกลึงฮุยการช่าง	กลึงโลหะและซ่อมแซมเครื่องยนต์	152			บ้านบึง-แกลง	ทางเกวียน	แกลง	ระยอง	21110	671432	3625000	15	195.5
5919	3-37-1/46รย	1.02E+13	บริษัท ยูเนี่ยนฟอร์เรส จำกัด	ทำเครื่องเรือน เครื่องใช้ในบ้านเรือน โดยใช้ไม้แปรรูป	14-มี.ค.	1		บ้านบึง-แกลง	ทางเกวียน	แกลง	ระยอง	21110	0 3867 7688	35000000	200	773.5
5920	จ3-58(1)-108/63รย	2.02E+13	บริษัท กรุงเทพ คอนกรีต (1989) จำกัด	ผลิตคอนกรีตผสมเสร็จ	โฉนดที่ดินเลขที่ 59280 59281 59282 59283 59288 59289 59290				ทางเกวียน	แกลง	ระยอง	21110		8000000	5	290.5
5921	จ3-37-2/46รย	2.02E+13	บริษัท ซันชัย เฟอร์นิช จำกัด	ผลิตเครื่องเรือนเครื่องใช้จากไม้อัด ไม้ปาติเกิลและไม้ยางพาราแปรูป	55/1	5	บ้านหนองตะเกรา	บ้านบึง-แกลง	ทางเกวียน	แกลง	ระยอง	21110	038-626325	538960000	265	483
5922	จ3-75(1)-6/54รย	2.02E+13	บริษัท บีพีมารีน เอ็นจิเนียริ่ง จำกัด	ซ่อมสร้างเรือจากเหล็กและอลูมิเนียม	203	8		บูรพาชลทิศ	เนินฆ้อ	แกลง	ระยอง	21110		10400000	20	483
5923	3-48(5)-1/44รย	1.02E+13	บริษัท แคนเดิล เอ็มไพร์ จำกัด	ผลิตและส่งออกเทียนไข	400-401	1	     -	เขาดิน-หนองเสม็ด(3377)	น้ำเป็น	เขาชะเมา	ระยอง	21110	      -	144000000	470	4310.7
5924	จ3-3(2)-157/56รย	2.02E+13	นายทรงเกียรติ สุชัยทัศน์ศรี	ขุด ร่อน และคัดขนาดทราย	"โฉนดที่ดินเลขที่ 12565,12566"	5			น้ำเป็น	เขาชะเมา	ระยอง	21110		150000	2	480
5925	น.39-2/2534-ญวก.	7.21E+13	บริษัท ลิคิโทมิ (ประเทศไทย) จำกัด	แผ่นกระดาษลูกฟูกและกล่องกระดาษลูกฟูก	82	1			หอมศีล	บางปะกง	ฉะเชิงเทรา	24180	0 3857 0092-6	358000000	188	818
5926	3-53(5)-80/58ฉช	1.02E+13	บริษัท ไทยอ๊อฟเซท จำกัด	ฟิล์มสีพิมพ์บรรจุภัณฑ์ เคลือบแผ่นพลาสติก ซองบรรจุภัณฑ์พลาสติก ฉลากฟิล์มพลาสติก	77/40	1	พิมพาวาส	พิมพาวาส-แสนภูดาษ	หอมศีล	บางปะกง	ฉะเชิงเทรา	24180	038-571323-6	190000000	33	2240
5927	น.52(4)-1/2550-นวก.	8.21E+13	บริษัท นิชิอัส (ไทยแลนด์) จำกัด	ผลิตปะเก็นกันรั่ว	85 นิคมอุตสาหกรรมเวลโกรว์	1			หอมศีล	บางปะกง	ฉะเชิงเทรา	24180		0	29	124.8
5928	จ3-58(1)-1/36ฉช	2.02E+13	บริษัท ปูนซิเมนต์ไทย (ท่าหลวง) จำกัด	ผลิตคอนกรีตผสมเสร็จ	40/1	1			หอมศีล	บางปะกง	ฉะเชิงเทรา	24180		20400000	3	299.11
5929	จ3-10(3)-3/60รย	2.02E+13	บริษัท เส้นดี 99 จำกัด	ผลิตเส้นก๋วยเตี๋ยว	59/1	3		บ้านบึง-แกลง	วังจันทร์	วังจันทร์	ระยอง	21210	038-018246	15900000	30	90
5930	ศ3-10(3)-1/37รย	2.10E+11	บริษัท เอส.บี.ฟู้ด จำกัด	ผลิตอาหารสำเร็จรูปและกึ่งสำเร็จรูปจากแป้ง เช่น ข้าวเกรียบ	139	3		บ้านบึง-แกลง	วังจันทร์	วังจันทร์	ระยอง	21210	038-666330-1	89000000	167	1718.53
5931	จ3-58(1)-9/63รย	2.02E+13	บริษัท ผลิตภัณฑ์คอนกรีตชลบุรี จำกัด (มหาชน)	ผลิตภัณฑ์คอนกรีตผสมเสร็จ	โฉนดที่ดินเลขที่ 7729	6			ป่ายุบใน	วังจันทร์	ระยอง	21210		10000000	5	199
5932	ข3-27(6)-1/44รย	9.12E+13	บริษัท ฟูเบิร์ก อินดัสเตรียล (ประเทศไทย) จำกัด	ผลิตผ้าอ้อมสำเร็จรูปสำหรับเด็กและผู้ใหญ่	136 เขตประกอบการฯ ระยองที่ดินอุตสาหกรรม	3			หนองละลอก	บ้านค่าย	ระยอง	21120		0	17	1618.71
5933	ข3-70-2/59รย	9.12E+13	บริษัท เบโค ไทย จำกัด	ผลิตเครื่องใช้ไฟฟ้า และชิ้นส่วนเครื่องใช้ไฟฟ้า เช่น ตู้เย็น	360	3			หนองละลอก	บ้านค่าย	ระยอง	21120	038-010301-4	3177900000	334	8545.58
5934	3-17-2/48รย	1.02E+13	บริษัท สยามเอทานอล เอ็กซ์ปอร์ต จำกัด	"ผลิตเอทานอล (แอลกอฮอล์) จากมันสำปะหลัง, กากน้ำตาลและพืชผลเกษตรกรรมอื่น ๆ"		8	-	-	หนองละลอก	บ้านค่าย	ระยอง	21120		300000000	71	11427.61
5935	ข3-53(8)-1/57รย	9.12E+13	บริษัท ฟิเทซ่าซีเอ็นซี จำกัด	ผลิตผ้าใยสังเคราะห์จากพลาสติก	"344, 345"				หนองละลอก	บ้านค่าย	ระยอง	21120		2859950000	70	35179.8
5936	ข3-64(2)-14/56รย	9.12E+13	บริษัท บิลเทค ออโตโมทีฟ จำกัด	ผลิตชิ้นส่วนรถยนต์ และชิ้นส่วนเครื่องใช้ไฟฟ้า	168	3			หนองละลอก	บ้านค่าย	ระยอง	21120		394902500	68	1997.35
5937	จ3-3(2)-85/55รย	2.02E+13	นายสุชาติ บาโคส	ขุด ร่อน และคัดขนาดทราย	โฉนดที่ดินเลขที่34361	8			หนองละลอก	บ้านค่าย	ระยอง	21120		12000000	7	260
5938	ข3-106-70/61รย	9.12E+13	บริษัท ไทยสตีลอินเตอร์เนชั่นแนล จำกัด	ปรับปรุงคุณภาพสนิมเหล็ก	170	3			หนองละลอก	บ้านค่าย	ระยอง	21120		152000000	17	4690.51
5939	จ3-34(2)-61/59รย	2.02E+13	เจริญนานงานไม้	ทำวงกบ ประตู หน้าต่าง บานประตู บานหน้าต่าง เครื่องใช้ และเครื่องเรือนจากไม้แปรรูป	"โฉนดที่ดินเลขที่ 5426, 5429, 5431, 5916, 17746"	5		สายชากบก-เชิงเนิน	ตาขัน	บ้านค่าย	ระยอง	21120	081-7230129	21500000	13	114
5940	จ3-3(2)-260/51รย	2.02E+13	บริษัท ภูสินธารา จำกัด	ขุดล้างทราย	"โฉนดที่ดินเลขที่ 4583,4781"	5			ตาขัน	บ้านค่าย	ระยอง	21120		3100000	4	291
5941	จ3-3(3)-11/61รย	2.02E+13	บริษัท ภูสินธารา จำกัด	ล้างและคัดขนาดทราย	"โฉนดที่ดินเลขที่ 14874, 4766,5302,14875,4616,14873,4617,4995,4619,4620,ฯ"	5			ตาขัน	บ้านค่าย	ระยอง	21120		10000000	9	490
5942	3-90-5/58รย	1.02E+13	บริษัท ยูนิเวอร์แซล ยูทีลิตี้ส์ จำกัด	จัดหาน้ำ ทำน้ำให้บริสุทธิ์หรือจำหน่ายน้ำ		2			บางบุตร	บ้านค่าย	ระยอง	21120	038-642-401	8780000	3	1715
5943	จ3-58(1)-88/49รย	2.02E+13	บริษัท บ้านค่ายผลิตภัณฑ์คอนกรีต จำกัด	ผลิตคอนกรีตผสมเสร็จ	64/4	2		บ้านบึง-ระยอง	บางบุตร	บ้านค่าย	ระยอง	21120	038-868143	162000000	9	128.93
5944	จ3-3(3)-5/47รย	2.02E+13	บริษัท ตั้งฮะฮวด จำกัด	ร่อนทราย	220	6			หนองบัว	บ้านค่าย	ระยอง	21120		18000000	20	370
5945	จ3-3(2)-305/58รย	2.02E+13	บริษัท ช.ร่วมเสริมกิจ จำกัด	ขุด ตัก ล้าง และคัดขนาดทรายบก	โฉนดที่ดินเลขที่ 21029 เลขที่ดิน 109 โฉนดที่ดินเลขที่ 64576 เลขที่ดิน 418 และโฉนดที่ดินเลขที่ 64577 เลขที่ดิน 417	2			หนองบัว	บ้านค่าย	ระยอง	21120		5500000	4	385
5946	3-105-29/58รย	1.02E+13	บริษัท ทรัพย์อนันต์ พลาสเทค จำกัด	คัดแยกวัสดที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยเศษพลาสติก ทำพลาสติกเป็นเม็ด แท่ง ท่อ หลอด แผ่น ชิ้น ผง หรือรูปทรงต่าง ๆ	66/22	3			หนองบัว	บ้านค่าย	ระยอง	21120		2000000	8	450
5947	ข3-101-7/47รย	9.14E+13	บริษัท โรจนะ อินดัสเตรียล แมเนจเม้นท์ จำกัด	โรงบำบัดน้ำเสีย	2-พ.ค.	2	สวนอุตสาหกรรมโรจนะ		หนองบัว	บ้านค่าย	ระยอง	21120	02-2592402-3	111858678	8	587.5
5948	จ3-64(13)-60/51รย	2.02E+13	ห้างหุ้นส่วนจำกัด ยูนิเทคซัพพลาย แอนด์เซอร์วิส	กลึง เชื่อม โลหะ	88	6	-	-	หนองบัว	บ้านค่าย	ระยอง	21120	038-626354	41500000	19	122.2
5949	จ3-52(4)-7/50รย	2.02E+13	บริษัท เจเนซิส บอลลูนส์ จำกัด	ผลิตลูกโป่ง	79/12	3			หนองบัว	บ้านค่าย	ระยอง	21120	02-3308924-5	77000000	100	421.26
5950	ข3-61-4/54รย	9.14E+13	บริษัท เจ เฟอร์ไรท์ พาวเดอร์ (ประเทศไทย) จำกัด	ผลิตและจำหน่ายผงโลหะ หรือส่วนประกอบที่เกี่ยวข้อง	89/1	2		บ้านค่าย-บ้านบึง	หนองบัว	บ้านค่าย	ระยอง	21120		125000000	25	586
5951	ข3-43(1)-12/52รย	9.14E+13	บริษัท แกรนนูลาร์ โฮลดิ้ง จำกัด	ผลิตปุ๋ยเคมี	4	11			หนองบัว	บ้านค่าย	ระยอง	21120		70000000	77	1449.35
5952	ข3-7(1)-31/54รย	9.14E+13	บริษัท โกลบอล ไบโอ พาวเวอร์ จำกัด	ผลิตน้ำมันไบโอดีเซล จากน้ำมันปาล์มกลั่น	1-ส.ค.	11			หนองบัว	บ้านค่าย	ระยอง	21120	086-7337731	270000000	16	2675
5953	ข3-101-3/40รย	9.14E+13	บริษัท สวนอุตสาหกรรมโรจนะ จำกัด (มหาชน)	โรงงานบำบัดน้ำเสียรวม ได้ 6000 ลูกบาศก์เมตร/วัน	7-มี.ค.	2	สวนอุตสาหกรรมโรจนะ	บ้านค่าย-บ้านบึง 	หนองบัว	บ้านค่าย	ระยอง	21120	038-961868-75	12100000	8	477
5954	จ3-50(4)-14/59รย	2.02E+13	บริษัท วีแอล เน็ตเวอร์ค 1996 จำกัด	การทำแอสฟัสด์ตึกคอนกรีต และแอสฟัสต์ตึกยางพาราผสมเสร็จ	โฉนดเลขที่ 22780	6			พนานิคม	นิคมพัฒนา	ระยอง	21180		23200000	11	464.9
5955	จ3-42(1)-8/59รย	2.02E+13	บริษัท เอ.เอฟ.อินโนเวทีฟ เทคโนโลยี จำกัด	ผลิตเคมีภัณฑ์เพื่อการอุตสาหกรรม	70/8	3			พนานิคม	นิคมพัฒนา	ระยอง	21180	038-897707-8	14540000	4	189.5
5956	จ3-3(3)-14/59รย	2.02E+13	นางสาวอรุชา ฟ้าประทานชัย	ร่อนหรือคัดกรวดหรือทรายโดยไม่มีการขุดทราย	โฉนดที่ดินเลขที่ 17073 และโฉนดที่ดินเลขที่ 33068	5			พนานิคม	นิคมพัฒนา	ระยอง	21180		26000000	5	470
5957	3-64(12)-31/59รย	1.02E+13	บริษัท บางกอกฟินทิ้ว จำกัด	ผลิตผลิตภัณฑ์ที่เกี่ยวกับโลหะทุกชนิด	22-ม.ค.	3	นิคม 7	สาย 13	พนานิคม	นิคมพัฒนา	ระยอง	21180		132200000	20	1257.07
5958	จ3-63(1)-2/50รย	2.02E+13	บริษัท อินเตอร์เนชั่นแนล อีททรานเฟอร์ อีควิปเม้นท์ คอนสตรัคชั่น จำกัด	ประกอบโครงสร้างเตาให้ความร้อน	59	4	13	สาย 13	พนานิคม	นิคมพัฒนา	ระยอง	21180		41000000	120	455.83
5959	3-105-57/62รย	1.02E+13	ห้างหุ้นส่วนจำกัด ภูผาหยก รุ่งเรือง	คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย	282/2	7	12	ทางหลวงสาย 36	พนานิคม	นิคมพัฒนา	ระยอง	21180		3700000	15	91
5960	3-106-6/62รย	1.02E+13	บริษัท ฟง หงษ์ หยวน เฮง รับเบอร์ จำกัด 	รีไซเคิลเศษยาง	649/1	7			พนานิคม	นิคมพัฒนา	ระยอง	21180	033-013413	22000000	26	295
5961	น.77(2)-19/2540-ญอบ.	7.22E+13	บริษัท สมบูรณ์ โซมิค แมนูแฟคเจอริ่ง จำกัด	"ชิ้นส่วนอุปกรณ์รถยนต์ (Suspension Ball Joint,Steering Linkage)"	20	4		ทางหลวงแผ่นดินหมายเลข 331	ปลวกแดง	ปลวกแดง	ระยอง	21140	038-954-605	1218000000	61	5484.03
5962	น.77(2)-8/2546-ญอบ.	7.22E+13	บริษัท มัทซึอิ อีสเทิร์น (ประเทศไทย) จำกัด	"ผลิตชิ้นส่วนอุปกรณ์รถยนต์ (SWITCH PARTS, KEY LOCK)"	64/32นิคมอุตสาหกรรมอีสเทิร์นซีบอร์ด	4	-		ปลวกแดง	ปลวกแดง	ระยอง	21140	38656290	132350000	106	156.36
5963	น.77(2)-37/2540-ญอบ.	7.22E+13	บริษัท ยามะเซอิ ไทย จำกัด	ชิ้นส่วนอุปกรณ์รถยนต์ (Hydraulic Parts)	108	4		ทางหลวงแผ่นดินหมายเลข 331	ปลวกแดง	ปลวกแดง	ระยอง	21140	0 3895 4473-6	47650000	32	728.89
5964	ข3-90-1/40รย	9.12E+13	บริษัท จี.เค.แลนด์ จำกัด	จัดหาน้ำ ทำน้ำให้บริสุทธิ์ในเขตประกอบการฯ	119	4	จี.เค.แลนด์		ปลวกแดง	ปลวกแดง	ระยอง	21140	955068	200000000	2	172.53
5965	น.64(11)-1/2545-ญอบ.	7.22E+13	บริษัท ทีโรลิท ไทย ไดมอนด์ จำกัด	"Calibrating Rollers, Calibrating Blades, Diamond Cutting Blades and Diamond Cutting Wheel"	64/55	4		ทางหลวงแผ่นดินหมายเลข 331	ปลวกแดง	ปลวกแดง	ระยอง	21140	0 3895 5575	133311000	33	3198.35
5966	น.56-1/2542-ญอบ.	7.22E+13	บริษัท ซึชิโยชิ สมบูรณ์ โคเตท แซนดี จำกัด	ผลิตทรายเคลือบเรซิน และรีไซเคิลเศษวัสดุเหลือใช้จากกระบวนการผลิต (ทรายหล่อแบบ)	19	4			ปลวกแดง	ปลวกแดง	ระยอง	21140	038954020-24	202900000	24	1206.4
5967	น.60-1/2540-ญอบ.	7.22E+13	บริษัท ไทยไฟน์ ซินเตอร์ จำกัด	"ผลิตภัณฑ์จากแผงโลหะ (SINTER METAL PRODUCTS),ผลิตชิ้นส่วนรถยนต์และชิ้นส่วนรถจักรยานยนต์"	32	4		ทางหลวงแผ่นดินหมายเลข 331	ปลวกแดง	ปลวกแดง	ระยอง	21140	0 3895 4384-90	196953000	95	0
5968	ข3-78(2)-1/43รย	9.12E+13	บริษัท ไทยอาซาฮี เดนโซ่ จำกัด	ผลิตและจำหน่ายสวิตช์ไฟ กุญแจและฝาปิดถังเชื้อเพลิง สำหรับรถจักรยานยนต์	119/21	4	จี.เค.แลนด์		ปลวกแดง	ปลวกแดง	ระยอง	21140	02-3240950	0	209	62.3
5969	จ3-3(3)-20/58รย	2.02E+13	บริษัท ซุน คอนสตรัคชั่น แอนด์ เอ็นจิเนียริ่ง จำกัด	ล้าง และ คัดขนาดทรายบก	โฉนดที่ดินเลขที่ 12749 และ 17250 เลขที่ 261 และ 262	1		สาย 3191	ปลวกแดง	ปลวกแดง	ระยอง	21140		12000000	7	385
5970	น.77(2)-4/2557-นอบ.	8.22E+13	บริษัท นาคามูระ พรีซิชั่น (ไทยแลนด์) จำกัด	"นำเข้าจำหน่ายผลิตและประกอบชิ้นส่วนรถยนต์(Ring,JournalBearing,Sleeve,Insert,InsertAssy)"	64/161	4			ปลวกแดง	ปลวกแดง	ระยอง	21140		145060000	9	277.94
5971	จ3-6(5)-6/58รย	2.02E+13	บริษัท อภิวงศ์ อินเตอร์ฟู้ดส์ จำกัด	"ชำแหละ, แกะ, ล้าง, สัตว์น้ำและตัดแต่ง, บด เนื้อสัตว์"	828	4			ปลวกแดง	ปลวกแดง	ระยอง	21140	086-8388188	10020000	91	294
5972	น.65-1/2555-นหบ.	8.23E+13	บริษัท เอ็มแอนด์เค พรีซิชั่น (ไทยแลนด์) จำกัด	ผลิตชิ้นส่วนอุปกรณ์สำหรับเครื่องยนต์					ปลวกแดง	ปลวกแดง	ระยอง	21140	-	0	0	968.81
5973	3-53(1)-21/51รย	1.02E+13	บริษัท ชิน ซัง เดลต้า เทค (ประเทศไทย) จำกัด	ทำผลิตภัณฑ์จากพลาสติก ได้แก่ ชิ้นส่วนเครื่องใช้ไฟฟ้า	73/1	4	-	-	ปลวกแดง	ปลวกแดง	ระยอง	21140	038-954070-1	298760000	80	879
5974	น.64(13)-1/2548-นอบ.	8.22E+13	บริษัท ที เอ็น ระยอง จำกัด	ผลิตและซื้อมาขายไปและแบ่งบรรจุHIGHPRECISIONBALLSและผลิตBALLBEARING	170	4			ปลวกแดง	ปลวกแดง	ระยอง	21140	038-959164	93240000	130	2160.39
5975	น.77(2)-1/2549-นอบ.	8.22E+13	บริษัท ออฟโร้ด แอคเซสซอรี่ส์ จำกัด	ผลิตชิ้นส่วนอุปกรณ์โลหะสำหรับยานพาหนะ	64/130	4	-		ปลวกแดง	ปลวกแดง	ระยอง	21140	038-929600-699	2486910000	170	1026.3
5976	น.42(1)-5/2552-ญอบ.	7.22E+13	บริษัท คอร์แม็กซ์ (ไทยแลนด์) จำกัด	ผลิตสารเคมี (สำหรับใช้ในอุตสาหกรรมปิโตรเคมี)	64/62	4			ปลวกแดง	ปลวกแดง	ระยอง	21140		0	8	495.2
5977	น.23(4)-1/2547-ญอบ.	7.22E+13	บริษัท ทานากะ อาอิ อินดัสทรีส์ (ประเทศไทย) จำกัด	"ตัดและกรอผ้าใยสังเคราะห์ (Slitting and Rewinding of Nonwoven Fabrics), ผลิตเม็ดพลาสติก (Plastic Compound) และให้บริการคลังสินค้า (Warehouse Services)"	64/44 นิคมอุตสาหกรรมอีสเทิร์นซีบอร์ด (ระยอง)				ปลวกแดง	ปลวกแดง	ระยอง	21140		393760000	46	427
5978	น.91(1)-3/2555-นอบ.	8.22E+13	บริษัท ที-แพ็ค (ประเทศไทย) จำกัด	ผลิตพาเททบรรจุสินค้าทั่วไปและศูนย์กระจายสินค้า		4			ปลวกแดง	ปลวกแดง	ระยอง	21140		15144862	56	57.31
5979	น.64(1)-1/2556-นอบ.	8.22E+13	บริษัท นิชโช เดนกิ (ประเทศไทย) จำกัด	"ซื้อ-ขายผลิตและประกอบตู้คอนโทรลและชุดควบคุมระบบไฟฟ้าสำหรับเครื่องจักรอุตสาหกรรมทุกชนิด(TerminalBox,PullBoxและControlPanel)"	64/108	4			ปลวกแดง	ปลวกแดง	ระยอง	21140		64734400	8	91.9
5980	ข3-53(5)-21/57รย	9.11E+13	บริษัท อิโนแอ็ค (ประเทศไทย) จำกัด	ทำผลิตภัณฑ์พลาสติก โพลียูเรเทน และทำโฟมจากยูเรเทน	366	4			ปลวกแดง	ปลวกแดง	ระยอง	21140		641350000	21	1959.67
5981	น.48(3)-1/2556-ญอบ.	7.22E+13	บริษัท เน็กซ์ โค้ทติ้ง จำกัด	ผลิตผลิตภัณฑ์เคลือบกาว	300/108	1			ปลวกแดง	ปลวกแดง	ระยอง	21140		73000000	7	2050.12
5982	น.53(5)-1/2547-นอบ.	8.22E+13	บริษัท แอมพาเซ็ท (ประเทศไทย) จำกัด	เกี่ยวกับผลิตภัณฑ์พลาสติก(MASTERBATCHES)	64/19	4			ปลวกแดง	ปลวกแดง	ระยอง	21140		295000000	120	3480
5983	3-53(1)-2/46รย	1.02E+13	บริษัท โคซาน อีเล็กทรอนิคส์ (ประเทศไทย) จำกัด	ทำผลิตภัณฑ์พลาสติกหรือเคลือบด้วยพลาสติก และผลิตชิ้นส่วนหรืออุปกรณ์เครื่องใช้ไฟฟ้า เช่น เครื่องซักผ้า	94	6	5	ชากอ้อย	ปลวกแดง	ปลวกแดง	ระยอง	21140	692121-4	40842502	179	1901.92
5984	3-90-7/62รย	1.02E+13	บริษัท จัดการและพัฒนาทรัพยากรน้ำภาคตะวันออก จำกัด (มหาชน)	จัดหาน้ำ ทำน้ำให้บริสุทธิ์ หรือจำหน่ายน้ำไปยังอาคาร หรือโรงงานอุตสาหกรรม	3093	1	-	-	ปลวกแดง	ปลวกแดง	ระยอง	21140	-	1044000000	15	6806.94
5985	3-105-54/62รย	1.02E+13	ห้างหุ้นส่วนจำกัด มาสเตอร์ รีไซเคิล	คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย	350	4			ปลวกแดง	ปลวกแดง	ระยอง	21140		3000000	10	75
5986	น.77(2)-26/2562-ญอบ.	7.22E+13	บริษัท แมกน่า ออโตโมทีฟ เทคโนโลยี (ประเทศไทย) จำกัด	ผลิต นำเข้า และส่งออก ชิ้นส่วนรถยนต์					ปลวกแดง	ปลวกแดง	ระยอง	21140	-	66210000	0	481.1
5987	จ3-3(2)-139/61รย	2.02E+13	นายไพบูลย์ สว่างไพร	ขุดทรายและคัดร่อนขนาดทราย	โฉนดที่ดินเลขที่ 15262 เล่มที่ 153 หน้าที่ 62	2			ตาสิทธิ์	ปลวกแดง	ระยอง	21140		9500000	3	484
5988	น.69-2/2556-ญหบ.	7.23E+13	บริษัท เมอร์รี่ อิเลคทรอนิคส์ (ไทยแลนด์) จำกัด	ผลิตผลิตภัณฑ์อิเล็กทรอนิกส์ ชิ้นส่วน อุปกรณ์อิเล็กทรอนิกส์ และชิ้นส่วน อุปกรณ์ที่ใช้กับผลิตภัณฑ์อิเล็กทรอนิกส์ (ELECTRONICS PART AND AUTO MACHINE)	500/127	3	-	-	ตาสิทธิ์	ปลวกแดง	ระยอง	21140		412770000	436	238
5989	น.77(2)-2/2557-นหบ.	8.23E+13	บริษัท ไทยซัมมิท โอโตโมทีฟ จำกัด	ผลิตและประกอบชิ้นส่วนยานยนต์ประเภทเหล็กปั๊มขึ้นรูป	500/82	3			ตาสิทธิ์	ปลวกแดง	ระยอง	21140	038-950-380-1	686000000	348	7134.52
5990	น.60-1/2550-นอบ.	8.22E+13	บริษัท อัลวา อะลูมิเนียม จำกัด	ผลิตอลลูมิเนียมแท่ง (มีการหลอมอะลูมิเนียม กำลังการผลิต ประมาณ 37.250 ตันต่อปี หรือ 102.055 ตันต่อวัน)	300/17	1	นิคมฯ อีสเทิร์นซีบอร์ด (ระยอง)		ตาสิทธิ์	ปลวกแดง	ระยอง	21140		0	56	1277.3
5991	น.64(9)-1/2551-นหบ.	8.23E+13	บริษัท ฟูเซะราชิ (ประเทศไทย) จำกัด	ผลิต น๊อต สกรู และชิ้นส่วนโลหะ	500/12	3	-	-	ตาสิทธิ์	ปลวกแดง	ระยอง	21140		759360000	48	1522.7
5992	น.47(3)-1/2550-ญหบ.	7.23E+13	บริษัท โตโย ฟิลลิ่ง อินเตอร์เนชั่นแนล จำกัด	ผลิตและจำหน่าย ผลิตภัณฑ์ และชิ้นส่วนผลิตภัณฑ์ เกี่ยวกับการดูแลเส้นผม หนังศีรษะ ร่างกาย เครื่องใช้ในครัวเรือน และสเปรย์ประเภทต่างๆ ที่ไม่เป็นอันตราย และซื้อมาขายไปบรรจุภัณฑ์สำหรับผลิตภัณฑ์ดังกล่าว และผลิตพลังงานไฟฟ้าแสงอาทิตย์ (Rooftop) สำหรับใช้เป็นสาธารณูปโภคภายในบริษัท ขนาด 108 kW	500/45	3	-	-	ตาสิทธิ์	ปลวกแดง	ระยอง	21140	038-950300	645220000	87	2716.33
5993	น.77(2)-1/2553-ญหบ.	7.23E+13	บริษัท อิตะคุระ (ประเทศไทย) จำกัด	ประกอบชิ้นส่วนกระจกรถยนต์	500/31	3			ตาสิทธิ์	ปลวกแดง	ระยอง	21140	33659036	79364317	30	58.33
5994	น.45(1)-2/2556-ญอบ.	7.22E+13	บริษัท โณฬุ เพ้นท์ (ประเทศไทย) จำกัด	ผลิตสีสำหรับใช้ทาก่อนเคลือบโลหะ	300/134	1			ตาสิทธิ์	ปลวกแดง	ระยอง	21140		236040000	7	216
